BPPosition	MeanScore	Variance	StDev	Median
0	31.1582332081	14.7592140727	3.84177225674	32.0
1	31.3361067716	10.277478599	3.20585068258	32.0
2	34.9199272598	18.0650251104	4.25029706143	37.0
3	35.9457736959	13.010843397	3.60705467064	37.0
4	36.1507725037	12.1243496868	3.48200368851	37.0
5	39.3843937032	17.8485387075	4.22475309427	41.0
6	39.7730921616	14.3542866476	3.78870514128	41.0
7	39.7140270917	15.9455016422	3.99318189446	41.0
8	40.0218022795	11.761165761	3.42945560709	41.0
9	40.1130653126	10.7536512115	3.27927601941	41.0
10	40.1557147112	10.1700374113	3.18904960942	41.0
11	40.1677411937	10.060617696	3.17184767856	41.0
12	40.0999138693	11.1983024023	3.34638646936	41.0
13	40.1183521279	10.907432201	3.30264018642	41.0
14	40.1239443468	10.9131368073	3.30350371686	41.0
15	40.1161486235	11.086971803	3.32971046834	41.0
16	40.040554088	12.9790109949	3.60263944836	41.0
17	40.0654810041	11.8276541851	3.43913567414	41.0
18	40.0708688852	11.6778318127	3.4172842745	41.0
19	40.0655129107	11.8385727416	3.4407227063	41.0
20	40.0417738351	12.2708557812	3.50297813028	41.0
21	40.1018338636	11.2682815744	3.3568261162	41.0
22	40.031106097	12.461468884	3.53008057755	41.0
23	40.0780876599	11.7435920346	3.4268924749	41.0
24	40.0362092799	12.4324963506	3.52597452495	41.0
25	40.020144496	13.2921419806	3.64583899543	41.0
26	39.9694622811	14.4729641468	3.80433491518	41.0
27	39.9885608189	14.0495490188	3.74827280475	41.0
28	39.9312205702	14.8912578188	3.85891925529	41.0
29	39.9788753955	14.2327327562	3.77262942206	41.0
30	39.8887733879	15.912339339	3.98902736755	41.0
31	39.9456407236	14.6321607855	3.82520075101	41.0
32	39.9313088224	14.8912249762	3.85891499987	41.0
33	39.9710328307	14.2687702429	3.77740257888	41.0
34	39.9847608832	14.0648043728	3.75030723712	41.0
35	39.9757662878	14.2758355604	3.77833767157	41.0
36	39.9661179474	14.5092975867	3.80910719024	41.0
37	39.939641781	15.050427645	3.87948806481	41.0
38	39.9495415553	14.8158709047	3.84913898226	41.0
39	39.9357409493	15.163385737	3.89401922658	41.0
40	39.9173417252	15.503511615	3.93744988729	41.0
41	39.8985370502	15.8668045052	3.9833157677	41.0
42	39.8394814844	16.9010135092	4.1110842255	41.0
43	39.8659764044	16.2074111141	4.02584290728	41.0
44	39.8032273147	17.919003468	4.23308439179	41.0
45	39.8493580077	16.4449815704	4.05524124688	41.0
46	39.8634211641	16.2549413358	4.03174172484	41.0
47	39.8584710647	16.4671687499	4.0579759425	41.0
48	39.8509867698	16.5838314222	4.07232506343	41.0
49	39.8497630344	16.5978509203	4.07404601352	41.0
50	39.8518932216	16.5413116725	4.06710113871	41.0
51	39.8430225187	16.7430137273	4.09182278787	41.0
52	39.7646080712	18.5450886707	4.30640089526	41.0
53	39.7991556641	17.302796593	4.1596630384	41.0
54	39.79725646	17.4035809598	4.17175993554	41.0
55	39.8012087156	17.3868763886	4.16975735369	41.0
56	39.7466224444	18.7390300991	4.32886013854	41.0
57	39.7643910047	18.0208622716	4.24509861741	41.0
58	39.7595706531	18.0582908439	4.24950477631	41.0
59	39.748029982	18.3360844446	4.28206544142	41.0
60	39.7343451221	18.5385239107	4.30563861822	41.0
61	39.7310251425	18.5707207832	4.30937591574	41.0
62	39.6815389994	19.8052045603	4.4503038728	41.0
63	39.6955167887	19.1990037722	4.38166678014	41.0
64	39.6860402854	19.3875936453	4.403134525	41.0
65	39.6717681242	19.6365686418	4.43131680675	41.0
66	39.6647844058	19.7644190761	4.44571918547	41.0
67	39.6576932574	19.9034237311	4.46132533347	41.0
68	39.6429350303	20.1992210064	4.49435434812	41.0
69	39.5491140413	22.1991305696	4.71159533168	41.0
70	39.5693063123	21.4136569992	4.62748927597	41.0
71	39.5700807253	21.5120244146	4.63810569248	41.0
72	39.5585456548	21.7823738592	4.66715907799	41.0
73	39.5395703306	22.0835470202	4.69931346265	41.0
74	39.5137560557	22.6455571851	4.75873483029	41.0
75	39.4076285533	24.6967425784	4.96958173073	41.0
76	38.7225880634	29.8582799352	5.46427304728	41.0
77	39.0904354142	27.9847154373	5.29005816956	41.0
78	39.192890098	28.1301441727	5.30378583397	41.0
79	39.2398167579	27.8890626769	5.28100962666	41.0
80	39.3278104716	26.231615819	5.12168095639	41.0
81	39.3360615423	26.5242303045	5.15016798799	41.0
82	39.3134425058	27.0222116717	5.19828930242	41.0
83	39.2996282376	27.2088182668	5.21620726839	41.0
84	39.2808658219	27.5402977009	5.24788506933	41.0
85	39.2739523659	27.623198465	5.25577762705	41.0
86	39.236481504	28.4630015017	5.3350727738	41.0
87	39.0919882285	31.4060744048	5.60411227625	41.0
88	39.1343072755	29.8117137453	5.46001041623	41.0
89	39.1399004278	29.9663609802	5.47415390542	41.0
90	39.1256391283	30.1267586449	5.48878480585	41.0
91	39.088128468	30.8768130848	5.55669083941	41.0
92	39.0499442908	31.491271484	5.61170842827	41.0
93	38.9934267392	32.7872240377	5.72601292678	41.0
94	38.9738942382	32.7306614245	5.72107170244	41.0
95	38.9757342116	32.7344280285	5.7214008799	41.0
96	38.960619157	33.1020266724	5.75343607528	41.0
97	38.7380843844	37.5545943286	6.128180344	41.0
98	38.792490078	35.6588899208	5.97150650346	41.0
99	38.8704750598	34.232969777	5.8508947843	41.0
100	37.7187950861	47.5767022359	6.89758669651	41.0
